Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Fertility rate - Sex: all - Age: all - Variant: medium
World,OWID_WRL,2057,,2.051
World,OWID_WRL,2058,,2.044
World,OWID_WRL,2059,,2.037
World,OWID_WRL,2060,,2.03
World,OWID_WRL,2061,,2.022
World,OWID_WRL,2062,,2.016
World,OWID_WRL,2063,,2.009
World,OWID_WRL,2064,,2.002
World,OWID_WRL,2065,,1.996
World,OWID_WRL,2066,,1.99
World,OWID_WRL,2067,,1.984
World,OWID_WRL,2068,,1.978
World,OWID_WRL,2069,,1.972
World,OWID_WRL,2070,,1.967
World,OWID_WRL,2071,,1.962
World,OWID_WRL,2072,,1.957
World,OWID_WRL,2073,,1.952
World,OWID_WRL,2074,,1.947
World,OWID_WRL,2075,,1.943
World,OWID_WRL,2076,,1.939
World,OWID_WRL,2077,,1.935
World,OWID_WRL,2078,,1.93
World,OWID_WRL,2079,,1.926
World,OWID_WRL,2080,,1.922
World,OWID_WRL,2081,,1.917
World,OWID_WRL,2082,,1.914
World,OWID_WRL,2083,,1.909
World,OWID_WRL,2084,,1.905
World,OWID_WRL,2085,,1.901
World,OWID_WRL,2086,,1.896
World,OWID_WRL,2087,,1.892
World,OWID_WRL,2088,,1.888
World,OWID_WRL,2089,,1.883
World,OWID_WRL,2090,,1.879
World,OWID_WRL,2091,,1.874
World,OWID_WRL,2092,,1.87
World,OWID_WRL,2093,,1.866
World,OWID_WRL,2094,,1.861
World,OWID_WRL,2095,,1.857
World,OWID_WRL,2096,,1.853
World,OWID_WRL,2097,,1.849
World,OWID_WRL,2098,,1.845
World,OWID_WRL,2099,,1.842
World,OWID_WRL,2100,,1.838
